feature,mean_abs_shap
conveyor_length,0.02173258875843125
orientation_index,0.016926653229901983
steel_a400,0.01581655330819785
pixels_areas,0.01464079424077655
square_index,0.014562667950415253
plate_thickness,0.01423767993559617
log_areas,0.013520327019024132
outside_x_index,0.01319772182456788
min_luminosity,0.012675542176980286
log_x_index,0.012666809649737078
x_minimum,0.012642622001828589
edges_y_index,0.012262471982811525
steel_a300,0.011683173618854528
sum_luminosity,0.01155907656457941
x_maximum,0.010761576492429686
edges_index,0.007975556997492058
luminosity_index,0.007756231688565515
y_maximum,0.007075758911708927
log_y_index,0.006988778809999141
y_minimum,0.006835998103321762
empty_index,0.006505966229137288
sigmoid_areas,0.0056592363855041995
edges_x_index,0.005620533896044474
x_perimeter,0.005373826574517433
max_luminosity,0.004755451681846965
y_perimeter,0.004013406851732058
outside_global_index,0.001006803522041813
