fault_type,precision,recall,f1_score,support
pastry,0.5675675675675675,0.5384615384615384,0.5526315789473685,39
z_scratch,0.9767441860465116,0.875,0.9230769230769231,48
k_scratch,0.967741935483871,0.9183673469387755,0.9424083769633508,98
stains,0.875,0.7777777777777778,0.8235294117647058,18
dirtiness,0.9285714285714286,0.9285714285714286,0.9285714285714286,14
bumps,0.7216494845360825,0.693069306930693,0.7070707070707071,101
other_faults,0.7258064516129032,0.8035714285714286,0.7627118644067796,168
