feature,importance
conveyor_length,0.06870372599240812
pixels_areas,0.06634656066342969
log_areas,0.06102061669104336
sum_luminosity,0.05513895819153003
outside_x_index,0.04714235047938402
min_luminosity,0.045957357341302366
log_x_index,0.04454445038373702
plate_thickness,0.0445378150980188
orientation_index,0.0432321319223139
x_minimum,0.042522951214098076
square_index,0.041946243834810985
x_maximum,0.041065565421286976
sigmoid_areas,0.036862913961745576
edges_index,0.035632291848738236
y_maximum,0.033667403037393996
luminosity_index,0.03278868284082159
y_minimum,0.03219810598087515
log_y_index,0.031967820450552444
edges_y_index,0.030000393836274942
steel_a400,0.025861747865201103
x_perimeter,0.024346359189947857
max_luminosity,0.023561038656464223
edges_x_index,0.02354992805549052
y_perimeter,0.022910566617474898
empty_index,0.022825082150228312
steel_a300,0.01908054630551149
outside_global_index,0.002588391969916293
