fault_type,precision,recall,f1_score,support,modeled_failure_weight,missed_cases,failure_priority_score
bumps,0.7216494845360825,0.693069306930693,0.7070707070707071,101,1.3,31,40.3
other_faults,0.7258064516129032,0.8035714285714286,0.7627118644067796,168,1.0,33,33.0
pastry,0.5675675675675675,0.5384615384615384,0.5526315789473685,39,1.2,18,21.6
k_scratch,0.967741935483871,0.9183673469387755,0.9424083769633508,98,1.5,8,12.0
z_scratch,0.9767441860465116,0.875,0.9230769230769231,48,1.5,6,9.0
stains,0.875,0.7777777777777778,0.8235294117647058,18,1.1,4,4.4
dirtiness,0.9285714285714286,0.9285714285714286,0.9285714285714286,14,1.0,1,1.0
